Parent Cas#	Parent Chem. Name	Parent Smiles	Parent Map reliability	Parent Liver_Muta	Parent in vivo Liver predicted Clastogen	Parent Invitro predictions	Parent Mechanism	Parent Alert info	Parent ModelReliability	Parent Type of detoxification	Parent detoxification paths	Parent Parameter ranges	Parent Structural domain				Parent Total Domain	Metabolite in vivo Liver predicted Clastogen	Metabolite Invitro predictions	Metabolite Mechanism	Metabolite Alert info	Metabolite ModelReliability	Metabolite Type of detoxification	Summary Map reliability	Summary in vivo Liver predicted Clastogen	Summary Mechanism	Summary Alert info	Summary ModelReliability	Summary Type of detoxification	Summary detoxification paths	Summary Total Domain
27203-92-5	Tramadol	CN(C)CC1CCCCC1(O)c1cccc(OC)c1	0.2385	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	57.14%	14.29%	28.57%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.2385	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
36643-28-4	Tributyltin-cation	CCCC[Sn]{+}(CCCC)CCCC	N/A	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	69.23%	0.00%	30.77%	Out of domain	Out of Domain	 	 	 	 	 	 	N/A	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
101-20-2	Triclocarban	O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1	N/A	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	22.22%	0.00%	77.78%	Out of domain	Out of Domain	 	 	 	 	 	 	N/A	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
3380-34-5	Triclosan	Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl	0.5491	No data	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	26. Phenolic Derivatives	In domain	42.86%	0.00%	57.14%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	0.5491	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	 	Out of Domain
01-01-40	Triclosan-methyl	COc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl	0.517	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	62.50%	0.00%	37.50%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.517	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
77-93-0	Triethyl citrate	CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC	0.1315	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	84.21%	0.00%	15.79%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.1315	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
112-49-2	Triethylenglycol dimethylether (Triglyme)	COCCOCCOCCOC	0.0414	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	100.00%	0.00%	0.00%	In domain	In domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.0414	in vivo Liver Clastogen negative	 	 	 	 	 	In domain
141517-21-7	Trifloxystrobin	CC(c1cccc(C(F)(F)F)c1)=NOCc1ccccc1C(C(=O)OC)=NOC	0.0681	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Geminal Polyhaloalkane Derivatives	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Carboxylic Acid Amides	Undetermined (0 <n< 10)	 	0.0681	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Carboxylic Acid Amides	Undetermined (0 <n< 10)	 	 	Out of Domain
1582-09-8	Trifluralin	CCCN(CCC)c1c(N(=O)=O)cc(C(F)(F)F)cc1N(=O)=O	0.2497	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"Nitroaniline Derivatives,Polynitroarenes,Geminal Polyhaloalkane Derivatives"	 	 	 	In domain	55.56%	0.00%	44.44%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	"Nitroaniline Derivatives,Geminal Polyhaloalkane Derivatives,Substituted Anilines"	 	 	0.2497	in vivo Liver Clastogen negative	 	"Nitroaniline Derivatives,Polynitroarenes,Geminal Polyhaloalkane Derivatives"	 	 	 	Out of Domain
738-70-5	Trimethoprim	COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	0.2019	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	27.27%	0.00%	72.73%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	0.2019	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
2083-68-3	Trimethyloctylammonium	CCCCCCCCN{+}(C)(C)(C).Br{-}	0.2488	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	53.85%	0.00%	46.15%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.2488	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
217-59-4	Triphenylene	c1cccc2c1c1ccccc1c1ccccc21	0.1081	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Polycyclic Aromatic Hydrocarbon and Naphthalenediimide Derivatives	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Epoxides and Aziridines	Undetermined (0 <n< 10)	 	0.1081	in vivo Liver Clastogen positive	Interaction with DNA 	Epoxides and Aziridines	Undetermined (0 <n< 10)	 	 	Out of Domain
791-28-6	Triphenylphosphine oxide	O=P(c1ccccc1)(c1ccccc1)c1ccccc1	N/A	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	 	 	 	 	 	 	N/A	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
668-34-8	Triphenyltin-cation	c1ccccc1[Sn]{+}(c1ccccc1)c1ccccc1	N/A	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	 	 	 	 	 	 	N/A	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
563-04-2	Tris-m-cresylphosphate	Cc1cccc(OP(=O)(Oc2cccc(C)c2)Oc2cccc(C)c2)c1	0.2032	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	45.45%	0.00%	54.55%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.2032	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
78-30-8	Tris-o-cresylphosphate	Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C	0.1596	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	45.45%	0.00%	54.55%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.1596	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
78-32-0	Tris-p-cresylphosphate	Cc1ccc(OP(=O)(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1	0.1804	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	18.18%	0.00%	81.82%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.1804	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
1330-78-5	TTP (Trytolyl phosphate - sum of isomers)	Cc1ccc(OP(=O)(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1	0.1804	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	18.18%	0.00%	81.82%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.1804	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
93413-69-5	Venlafaxine	CN(C)CC(c1ccc(OC)cc1)C1(O)CCCCC1	0.1817	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	73.33%	13.33%	13.33%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.1817	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
52-53-9	Verapamil	CC(C)C(CCCN(C)CCc1ccc(OC)c(OC)c1)(C#N)c1ccc(OC)c(OC)c1	0.0731	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	65.22%	0.00%	34.78%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.0731	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
81-81-2	Warfarin	CC(=O)CC(c1ccccc1)C1=C(O)Oc2ccccc2C1=O	0.1614	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	 	 	 	In domain	30.77%	0.00%	69.23%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.1614	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
*-60-8	Water temperature	 																													
7440-66-6	Zinc (Zn) - dissolved	[Zn]																													
7440-66-6	Zinc (Zn) - total	[Zn]_[Zn]																													
83-46-5	ß-Sitosterol	CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C	0.3117	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	73.33%	0.00%	26.67%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Epoxides and Aziridines	 	 	0.3117	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
*-61-2	Quaternium 15 (free base)	ClC=CCN{+}12(.Cl{-})CN3CN(C1)CN(C2)C3	N/A	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Hexahydrotriazine Derivatives	Undetermined (0 <n< 10)	 	 	Out of domain	0.00%	20.00%	80.00%	Out of domain	Out of Domain	 	 	 	 	 	 	N/A	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Hexahydrotriazine Derivatives	Undetermined (0 <n< 10)	 	 	Out of Domain
10127-27-2	Acid orange 74	CC1C{-}2(C(=O)N(c3ccccc3)N=1)N=Nc1cc(N(=O)=O)cc3c1O{-}.[Cr]{3+}.2.O{-}S3(=O)=O_O{-}.[Na]{+}	0.2112	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Pyrazolone and Pyrazolidine Derivatives	Undetermined (0 <n< 10)	 	 	Can't calculate	10.00%	0.00%	90.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Pyrazolone and Pyrazolidine Derivatives	Undetermined (0 <n< 10)	 	0.2112	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Pyrazolone and Pyrazolidine Derivatives	Undetermined (0 <n< 10)	 	 	Out of Domain
113-45-1	Methylphenidate	COC(=O)C(C1CCCCN1)c1ccccc1	0.0854	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	58.33%	8.33%	33.33%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.0854	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
1088-11-5	Nordiazepam	O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1	0.0745	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Carboxylic Acid Amides	 	 	 	In domain	66.67%	0.00%	33.33%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	0.0745	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
66753-07-9	Terbutylazine-2-hydroxy	CCNc1nc(NC(C)(C)C)nc(O)n1	0.3226	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	40.00%	20.00%	40.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.3226	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
6104-71-8	N-Desmethylclozapine	Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2	0.1978	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	8.33%	0.00%	91.67%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Dicarbonyl Compounds	Undetermined (0 <n< 10)	 	0.1978	in vivo Liver Clastogen positive	Interaction with DNA 	Dicarbonyl Compounds	Undetermined (0 <n< 10)	 	 	Out of Domain
66753-06-8	Terbutylazine-desethyl-2-hydroxy	CC(C)(C)Nc1nc(N)nc(O)n1	N/A	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	37.50%	0.00%	62.50%	Out of domain	Out of Domain	 	 	 	 	 	 	N/A	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
16590-41-3	Naltrexone	Oc1ccc2CC3C4(O)CCC(=O)C5C4(CCN3CC3CC3)c2c1O5	0.6019	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	 	 	In domain	25.00%	15.00%	60.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	 	0.6019	in vivo Liver Clastogen negative	 	Substituted Phenols	 	 	 	Out of Domain
42200-33-9	Nadolol	CC(C)(C)NCC(O)COc1cccc2CC(O)C(O)Cc12	0.497	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	82.35%	0.00%	17.65%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	 	0.497	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
135410-20-7	Acetamiprid	CC(=N\C#N)N(C)Cc1ccc(Cl)nc1	0.0831	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.0831	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
57-27-2	Morphine	CN1CCC{P-}23C{P-}4C=CC{P+}(O)C{P+}2Oc2c3c(CC{P-}14)ccc2O	0.409	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	 	 	In domain	31.25%	0.00%	68.75%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	0.409	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	 	Out of Domain
84057-84-1	Lamotrigine	Nc1c(-c2cccc(Cl)c2Cl)nnc(N)n1	0.525	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	0.525	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
56392-14-4	Metroprolol acid	CC(C)NCC(O)COc1ccc(CC(O)=O)cc1	0.3072	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	64.29%	7.14%	28.57%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.3072	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
72-69-5	Nortriptyline	CNCCC=C1c2ccccc2CCc2ccccc12	0.1737	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	0.1737	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
69610-10-2	Methylendioxymethamphetamine (MDMA)	CC(Cc1ccc2c(c1)OCO2)NC	0.2191	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	55.56%	0.00%	44.44%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	0.2191	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
537-46-2	Methamphetamine	CC(Cc1ccccc1)NC	0.1056	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	33.33%	0.00%	66.67%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.1056	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
106-48-9	4-Chlorophenol	Oc1ccc(Cl)cc1	1	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	In domain	66.67%	0.00%	33.33%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
131860-33-8	Azoxystrobin	COC=C(c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1)C(=O)OC	0.3025	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"alpha,beta-Unsaturated Carboxylic Acids and Esters"	 	 	 	In domain	6.67%	0.00%	93.33%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	"alpha,beta-Unsaturated Carboxylic Acids and Esters"	 	 	0.3025	in vivo Liver Clastogen negative	 	"alpha,beta-Unsaturated Carboxylic Acids and Esters"	 	 	 	Out of Domain
57-42-1	Meperidine (Pethidine)	CCOC(=O)C1(c2ccccc2)CCN(C)CC1	0.1034	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	76.92%	0.00%	23.08%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.1034	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
*364-85-4	Medazepam	CN1CCN=C(c2ccccc2)c2cc(Cl)ccc12	0.0789	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	66.67%	0.00%	33.33%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.0789	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
10262-69-8	Maprotiline	CNCCCC12CCC(c3ccccc13)c1ccccc21	0.1478	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	36.36%	0.00%	63.64%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	0.1478	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
18691-97-9	Methabenzthiazuron	CNC(=O)N(C)C1=Nc2ccccc2S1	0.0683	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.0683	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
61337-67-5	Mirtazapine	CN1CCN2C(C1)c1ccccc1Cc1cccnc21	0.125	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Heterocyclic Aromatic Amines	Undetermined (0 <n< 10)	 	 	In domain	30.00%	10.00%	60.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Heterocyclic Aromatic Amines	Undetermined (0 <n< 10)	 	0.125	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Heterocyclic Aromatic Amines	Undetermined (0 <n< 10)	 	 	Out of Domain
*-63-5	Terbutylazine CGA 324007	 																													
139-40-2	Propazine	CC(C)Nc1nc(NC(C)C)nc(Cl)n1	0.1089	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	40.00%	60.00%	0.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.1089	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
17617-23-1	Flurazepam	CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc12	0.1826	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	52.94%	5.88%	41.18%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.1826	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
54063-53-5	Propafenone	CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1	0.2913	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	53.33%	0.00%	46.67%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.2913	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
519-09-5	Benzoylecgonine	CN1C2CCC1CC{P+}(OC(=O)c1ccccc1)C{P+}2C(O)=O	0.5013	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	50.00%	12.50%	37.50%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.5013	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
7374-53-0	Propazine-2-hydroxy	CC(C)Nc1nc(NC(C)C)nc(O)n1	0.066	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	40.00%	40.00%	20.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.066	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
1893-33-0	Pipamperone	NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1	0.0678	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	63.64%	4.55%	31.82%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.0678	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
125-59-7	Phenytoin	O=C1C(c2ccccc2)(c2ccccc2)NC(=O)N1	0.0451	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	0.0451	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
122-09-8	Phentermine	CC(C)(N)Cc1ccccc1	0.2905	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	50.00%	0.00%	50.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	N-HydroxylAmines	Undetermined (0 <n< 10)	 	0.2905	in vivo Liver Clastogen positive	Interaction with DNA 	N-HydroxylAmines	Undetermined (0 <n< 10)	 	 	Out of Domain
1609-66-1	Norfentanyl	CCc1cccc(CC)c1N(COC)C(=O)CCl	0.3429	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	alpha-Activated Haloalkanes	Undetermined (0 <n< 10)	 	 	In domain	53.85%	0.00%	46.15%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	"alpha-Activated Haloalkanes,Substituted Phenols"	Undetermined (0 <n< 10)	 	0.3429	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	alpha-Activated Haloalkanes	Undetermined (0 <n< 10)	 	 	Out of Domain
1418095-19-8	S-Metolachlor NOA 413173	CCc1cccc(C)c1N(C{P-}(C)C(O)=O)C(=O)CS(O)(=O)=O	0.6667	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	35.29%	0.00%	64.71%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.6667	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
77-17-8	Normeperidine (Norpethidine)	CCOC(=O)C1(c2ccccc2)CCNCC1	0.0969	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	58.33%	0.00%	41.67%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.0969	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
